Timestamp,Usage EXACT 29335,Gradient EXACT 29335,Temperature EXACT 29335,Usage EXACT 29329,Gradient EXACT 29329,Temperature EXACT 29329
2025-11-19 11:33:32,0,0.01,25.98,0,0.01,25.51
2025-11-19 11:35:32,0,0.01,25.98,0,0.06,25.61
2025-11-19 11:37:32,0,0.01,25.98,0,0.01,25.61
2025-11-19 11:39:32,0,0.01,25.98,0,0.01,25.51
2025-11-19 11:41:32,0,-0.06,25.89,0,0.01,25.41
2025-11-19 11:43:32,0,-0.04,25.87,0,0.01,25.30
2025-11-19 11:45:32,0,0.00,25.87,0,0.06,25.25
2025-11-19 11:47:32,0,0.01,25.87,0,0.01,25.15
2025-11-19 11:49:32,0,-0.02,25.84,0,0.01,25.10
2025-11-19 11:51:32,0,-0.08,25.77,0,0.04,25.05
2025-11-19 11:53:32,0,-0.06,25.77,0,0.05,25.04
2025-11-19 11:55:32,0,0.00,25.77,0,-0.03,24.94
2025-11-19 11:57:32,0,0.01,25.77,0,0.05,24.94
2025-11-19 11:59:32,0,0.01,25.77,0,0.06,24.94
2025-11-19 12:01:32,0,-0.04,25.77,0,0.03,24.91
2025-11-19 12:03:32,0,-0.09,25.77,0,-0.03,24.84
2025-11-19 12:05:32,0,-0.08,25.78,0,-0.04,24.84
2025-11-19 12:07:32,0,0.00,25.87,0,0.02,24.84
2025-11-19 12:09:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:11:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:13:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:15:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:17:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:19:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:21:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:23:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:25:32,0,0.01,25.87,0,0.06,24.84
2025-11-19 12:27:32,0,-0.07,25.87,0,0.06,24.84
2025-11-19 12:29:32,0,-0.09,25.88,0,0.06,24.84
2025-11-19 12:31:32,0,-0.06,25.90,0,0.05,24.84
2025-11-19 12:33:32,0,-0.01,25.97,0,0.05,24.84
2025-11-19 12:35:32,0,0.01,25.98,0,-0.02,24.84
2025-11-19 12:37:32,0,0.01,25.98,0,-0.04,24.84
2025-11-19 12:39:32,0,0.01,25.98,0,-0.04,24.84
2025-11-19 12:41:32,0,-0.05,25.98,0,-0.04,24.84
2025-11-19 12:43:32,0,-0.09,25.98,0,-0.04,24.84
2025-11-19 12:45:32,0,-0.09,25.98,0,-0.04,24.84
2025-11-19 12:47:32,0,-0.09,25.98,0,-0.03,24.86
2025-11-19 12:49:32,0,-0.09,25.98,0,0.01,24.91
2025-11-19 12:51:32,0,-0.09,25.98,0,0.05,24.93
2025-11-19 12:53:32,0,-0.09,25.98,0,0.06,24.94
2025-11-19 12:55:32,0,-0.09,25.98,0,0.06,24.94
2025-11-19 12:57:32,0,-0.04,26.04,0,0.06,24.94
2025-11-19 12:59:32,0,0.01,26.08,0,0.06,24.94
2025-11-19 13:01:32,0,-0.01,26.08,0,0.06,24.94
2025-11-19 13:03:32,0,-0.08,26.09,0,0.06,24.94
2025-11-19 13:05:32,0,-0.03,26.15,0,0.06,24.94
2025-11-19 13:07:32,0,0.01,26.18,0,-0.01,24.94
2025-11-19 13:09:32,0,-0.08,26.18,0,-0.04,24.94
2025-11-19 13:11:32,0,0.00,26.29,0,-0.04,24.94
2025-11-19 13:13:32,0,-0.02,26.31,0,-0.03,24.96
2025-11-19 13:15:32,0,-0.04,26.39,0,0.05,25.05
2025-11-19 13:17:32,0,0.01,26.49,0,0.06,25.05
2025-11-19 13:19:32,0,-0.05,26.11,0,0.06,25.05
2025-11-19 13:21:32,0,-0.09,25.71,0,0.06,25.05
2025-11-19 13:23:32,0,-0.04,25.41,0,0.01,25.05
2025-11-19 13:25:32,0,-0.06,25.20,0,0.00,25.09
2025-11-19 13:27:32,0,-0.04,25.25,0,0.05,25.15
2025-11-19 13:29:32,0,0.00,25.41,0,0.06,25.15
2025-11-19 13:31:32,0,0.00,25.60,0,0.01,25.15
2025-11-19 13:33:32,0,-0.04,25.76,0,-0.03,25.15
2025-11-19 13:35:32,0,0.00,25.92,0,-0.04,25.15
2025-11-19 13:37:32,0,-0.01,26.09,0,0.02,25.22
2025-11-19 13:39:32,0,0.01,26.23,0,0.06,25.25
2025-11-19 13:41:32,0,0.01,26.34,0,0.06,25.25
2025-11-19 13:43:32,0,-0.04,26.40,0,0.06,25.25
2025-11-19 13:45:32,0,0.01,26.49,0,0.02,25.25
2025-11-19 13:47:32,0,-0.01,26.54,0,-0.03,25.25
2025-11-19 13:49:32,0,-0.03,26.65,0,-0.04,25.25
2025-11-19 13:51:32,0,-0.00,26.75,0,-0.00,25.29
2025-11-19 13:53:32,0,-0.04,26.81,0,0.02,25.32
2025-11-19 13:55:32,0,0.01,26.91,0,0.06,25.36
2025-11-19 13:57:32,0,-0.03,27.03,0,0.06,25.36
2025-11-19 13:59:32,0,-0.00,27.13,0,0.06,25.36
2025-11-19 14:01:32,0,0.01,27.22,0,0.05,25.36
2025-11-19 14:03:32,0,0.01,27.33,0,0.06,25.36
2025-11-19 14:05:32,0,0.01,27.43,0,0.01,25.36
2025-11-19 14:07:32,0,0.02,27.54,0,-0.02,25.36
2025-11-19 14:09:32,0,0.01,27.64,0,-0.04,25.36
2025-11-19 14:11:32,0,0.03,27.77,0,-0.04,25.36
2025-11-19 14:13:32,0,0.02,27.86,0,-0.04,25.36
